asn_org,unique_ips,provider_count,asn_count,country_count,top_providers
ASNET,12,4,1,3,Sentinel dVPN (7); FlowVPN (3); FreeVPN (1); WorldVPN (1)
FAIRYHOSTING,12,5,1,1,Kompot VPN (8); FlowVPN (1); GhostPath (1); PrivateVPN (1); Zoogvpn (1)
FLOKINET,12,3,1,1,VPN.ac (8); Windscribe (3); IVPN (1)
GF-UA,12,3,1,2,WorldVPN (5); VPN Unlimited (4); VPN Jantit (3)
LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD.,12,4,1,1,Astrill (4); VPN.ac (4); Proxpn (2); Sentinel dVPN (2)
LEASEWEB-USA-PHX,12,3,1,1,Astrill (5); WiTopia (5); PureVPN (2)
ORG-LVA15-AS,12,2,1,1,Astrill (11); Vpnht (1)
RADORE,12,6,1,1,Anonine (6); BoxPN (6); EasyHideIP (6); FrootVPN (6); Sentinel dVPN (5); Trust.Zone (1)
TIER4CLOU-AS Tier 4 Cloud Services,12,2,1,1,Astrill (7); WiTopia (5)
xneelo,12,8,1,1,Astrill (3); FlowVPN (2); PrivateVPN (2); FastestVPN (1); Safervpn (1); Sentinel dVPN (1); VPN Unlimited (1); Zoogvpn (1)
ALMOUROLTEC,11,7,1,1,Astrill (3); TorGuard (3); IVPN (2); FlowVPN (1); PrivateVPN (1); Sentinel dVPN (1); VPN.ac (1)
ANGANI-AS,11,1,1,1,CyberGhost (11)
ARUBA-ASN,11,4,1,1,WorldVPN (5); VPN Unlimited (4); CactusVPN (1); FlowVPN (1)
FIBERFI,11,2,1,1,Astrill (6); WiTopia (5)
HOSTODO,11,1,1,1,Sentinel dVPN (11)
IOMART-IE,11,6,1,1,Anonine (7); BoxPN (7); EasyHideIP (7); FrootVPN (7); VPNSecure (3); VPNUK (1)
VIRTUALSYSTEMS,11,8,1,1,Anonine (7); BoxPN (7); EasyHideIP (7); FrootVPN (7); CactusVPN (1); FlowVPN (1); Trust.Zone (1); Zoogvpn (1)
WEBHORIZON-AS-AP WebHorizon Internet Services,11,2,1,1,Sentinel dVPN (9); KevinVPN (2)
WEHOSTWEBSITES-COM,11,2,1,1,WiTopia (10); VPN.ac (1)
BEANFIELD,10,1,1,1,Psiphon (10)
HVC-AS,10,4,1,1,Astrill (4); VPN.ac (4); GhostPath (1); VPNUK (1)
KDDI KDDI CORPORATION,10,1,1,1,VPN Gate (10)
LEASEWEB-USA-SFO,10,3,1,1,Astrill (7); VPN.ac (2); VPN Unlimited (1)
PEG-SV,10,2,1,1,Astrill (8); Sentinel dVPN (2)
SERVETHEWORLD-AS,10,6,1,1,Astrill (5); IVPN (2); Getflix (1); Safervpn (1); Smartdnsproxy (1); VPN.ac (1)
